Participant ID,
'h',2019-11-01 17:53:43.224475	
'e',2019-11-01 17:53:43.381123	
'l',2019-11-01 17:53:43.632918	
'l',2019-11-01 17:53:43.763061	
'o',2019-11-01 17:53:43.937918	
Key.shift_r,2019-11-01 17:53:44.793791	
'1',2019-11-01 17:53:44.928852	
Key.enter,2019-11-01 17:53:45.073395	
Key.ctrl_l,2019-11-01 17:53:46.345645	
Key.ctrl_l,2019-11-01 17:53:46.834007	
Key.ctrl_l,2019-11-01 17:53:47.187019	
Key.ctrl_l,2019-11-01 17:53:47.422477	
Key.ctrl_l,2019-11-01 17:53:47.651737	
Key.ctrl_l,2019-11-01 17:53:47.877628	
Key.ctrl_l,2019-11-01 17:53:48.100398	
Key.ctrl_l,2019-11-01 17:53:48.327385	
Key.ctrl_l,2019-11-01 17:53:48.551682	
Key.ctrl_l,2019-11-01 17:53:48.774393	
'i',2019-11-01 17:53:57.650445	
'm',2019-11-01 17:53:57.849968	
Key.backspace,2019-11-01 17:53:58.452144	
"'",2019-11-01 17:53:58.683655	
'm',2019-11-01 17:53:58.957447	
Key.space,2019-11-01 17:53:59.111979	
'g',2019-11-01 17:53:59.219793	
'o',2019-11-01 17:53:59.332755	
'o',2019-11-01 17:53:59.459858	
'd',2019-11-01 17:53:59.569861	
Key.space,2019-11-01 17:53:59.655834	
'a',2019-11-01 17:53:59.766476	
'n',2019-11-01 17:53:59.869978	
'd',2019-11-01 17:53:59.977159	
Key.space,2019-11-01 17:54:00.053192	
'y',2019-11-01 17:54:00.411611	
'o',2019-11-01 17:54:00.559630	
'u',2019-11-01 17:54:00.639172	
Key.shift_r,2019-11-01 17:54:00.922043	
'/',2019-11-01 17:54:01.095866	
Key.enter,2019-11-01 17:54:01.214911	
't',2019-11-01 17:54:12.712491	
'h',2019-11-01 17:54:12.794127	
'a',2019-11-01 17:54:12.945011	
't',2019-11-01 17:54:13.063153	
's',2019-11-01 17:54:13.140651	
Key.space,2019-11-01 17:54:13.267926	
'a',2019-11-01 17:54:13.446241	
'w',2019-11-01 17:54:13.572000	
'e',2019-11-01 17:54:13.804982	
's',2019-11-01 17:54:13.976905	
'o',2019-11-01 17:54:14.017138	
'm',2019-11-01 17:54:14.215065	
'e',2019-11-01 17:54:14.277436	
Key.shift_r,2019-11-01 17:54:14.459786	
'1',2019-11-01 17:54:14.872050	
Key.enter,2019-11-01 17:54:14.968520	
'o',2019-11-01 17:54:19.912861	
Key.backspace,2019-11-01 17:54:20.300996	
'c',2019-11-01 17:54:20.447125	
'o',2019-11-01 17:54:20.569398	
'o',2019-11-01 17:54:20.692751	
'l',2019-11-01 17:54:20.819554	
Key.enter,2019-11-01 17:54:21.036084	
Key.backspace,2019-11-01 17:54:51.543765	
's',2019-11-01 17:55:07.196430	
'c',2019-11-01 17:55:07.405291	
'i',2019-11-01 17:55:07.788798	
Key.backspace,2019-11-01 17:55:08.152693	
'r',2019-11-01 17:55:08.253741	
'i',2019-11-01 17:55:08.433435	
'p',2019-11-01 17:55:08.647246	
't',2019-11-01 17:55:08.766818	
Key.enter,2019-11-01 17:55:08.922295	
Key.backspace,2019-11-01 17:55:53.247836	
Key.backspace,2019-11-01 17:55:53.351805	
Key.enter,2019-11-01 17:55:53.548247	
'c',2019-11-01 17:56:02.359426	
'r',2019-11-01 17:56:02.541895	
'i',2019-11-01 17:56:02.648166	
'p',2019-11-01 17:56:02.835370	
't',2019-11-01 17:56:02.930203	
Key.backspace,2019-11-01 17:56:03.640573	
Key.backspace,2019-11-01 17:56:03.788805	
Key.backspace,2019-11-01 17:56:03.938293	
Key.backspace,2019-11-01 17:56:04.078849	
Key.backspace,2019-11-01 17:56:04.205333	
's',2019-11-01 17:56:04.320150	
'c',2019-11-01 17:56:04.516815	
'r',2019-11-01 17:56:04.762950	
'i',2019-11-01 17:56:05.012447	
'p',2019-11-01 17:56:05.209732	
't',2019-11-01 17:56:05.302647	
Key.enter,2019-11-01 17:56:05.452750	
Key.ctrl_l,2019-11-01 18:00:12.381209	
'x',2019-11-01 18:00:12.767823	
Key.esc,2019-11-01 18:00:16.352188	
