Participant ID,09
'k',2019-11-04 00:28:24.600903	
'k',2019-11-04 00:28:24.824898	
'b',2019-11-04 00:28:24.928899	
'k',2019-11-04 00:28:25.048896	
'b',2019-11-04 00:28:25.132895	
'k',2019-11-04 00:28:25.264934	
'j',2019-11-04 00:28:25.300902	
'b',2019-11-04 00:28:25.344897	
'k',2019-11-04 00:28:25.476928	
'b',2019-11-04 00:28:25.548900	
'k',2019-11-04 00:28:25.673079	
'b',2019-11-04 00:28:25.761075	
'k',2019-11-04 00:28:25.897079	
'b',2019-11-04 00:28:25.976907	
'k',2019-11-04 00:28:26.104911	
'b',2019-11-04 00:28:26.176901	
'k',2019-11-04 00:28:26.297079	
'b',2019-11-04 00:28:26.376931	
'k',2019-11-04 00:28:26.504904	
'b',2019-11-04 00:28:26.580898	
'k',2019-11-04 00:28:26.706141	
'b',2019-11-04 00:28:26.782323	
'k',2019-11-04 00:28:26.902136	
'b',2019-11-04 00:28:26.975523	
'k',2019-11-04 00:28:27.083522	
'b',2019-11-04 00:28:27.163678	
'k',2019-11-04 00:28:27.267705	
'b',2019-11-04 00:28:27.343705	
Key.esc,2019-11-04 00:28:27.885911	
