Participant ID,ALICE
Key.ctrl_l,2019-11-06 15:20:09.945105	
'c',2019-11-06 15:20:10.337613	
Key.ctrl_l,2019-11-06 15:20:11.918040	
'v',2019-11-06 15:20:12.148823	
Key.ctrl_l,2019-11-06 15:20:15.024376	
'c',2019-11-06 15:20:15.258047	
Key.ctrl_l,2019-11-06 15:20:17.008052	
'v',2019-11-06 15:20:17.230223	
Key.ctrl_l,2019-11-06 15:20:18.196235	
'v',2019-11-06 15:20:18.362111	
Key.enter,2019-11-06 15:20:18.510728	
Key.ctrl_l,2019-11-06 15:20:30.242687	
'c',2019-11-06 15:20:30.579520	
Key.ctrl_l,2019-11-06 15:20:31.979117	
'v',2019-11-06 15:20:32.214325	
Key.enter,2019-11-06 15:20:32.310470	
Key.ctrl_l,2019-11-06 15:20:36.204821	
'c',2019-11-06 15:20:36.518702	
Key.ctrl_l,2019-11-06 15:20:37.663012	
'v',2019-11-06 15:20:37.889825	
Key.enter,2019-11-06 15:20:38.303001	
'k',2019-11-06 15:21:05.688970	
'j',2019-11-06 15:21:05.690992	
'a',2019-11-06 15:21:05.692820	
's',2019-11-06 15:21:05.759185	
'b',2019-11-06 15:21:05.891960	
'd',2019-11-06 15:21:05.894064	
'f',2019-11-06 15:21:06.006286	
'k',2019-11-06 15:21:06.116184	
'j',2019-11-06 15:21:06.118767	
'a',2019-11-06 15:21:06.160881	
'n',2019-11-06 15:21:06.363595	
's',2019-11-06 15:21:06.364585	
'd',2019-11-06 15:21:06.379287	
'k',2019-11-06 15:21:06.520700	
'j',2019-11-06 15:21:06.523324	
'f',2019-11-06 15:21:06.544079	
'n',2019-11-06 15:21:06.770208	
'a',2019-11-06 15:21:06.772602	
';',2019-11-06 15:21:06.827104	
'e',2019-11-06 15:21:06.935808	
'w',2019-11-06 15:21:06.937248	
'n',2019-11-06 15:21:07.177243	
'j',2019-11-06 15:21:07.178229	
'f',2019-11-06 15:21:07.181222	
';',2019-11-06 15:21:07.182219	
'a',2019-11-06 15:21:07.256749	
'e',2019-11-06 15:21:07.342855	
'k',2019-11-06 15:21:07.365794	
'j',2019-11-06 15:21:07.368484	
'n',2019-11-06 15:21:07.480747	
'a',2019-11-06 15:21:07.684021	
'd',2019-11-06 15:21:07.803221	
'n',2019-11-06 15:21:07.818697	
'f',2019-11-06 15:21:07.903951	
';',2019-11-06 15:21:07.960774	
Key.ctrl_l,2019-11-06 15:21:08.765211	
'a',2019-11-06 15:21:08.997862	
Key.backspace,2019-11-06 15:21:09.507844	
Key.backspace,2019-11-06 15:21:09.739599	
Key.backspace,2019-11-06 15:21:09.942468	
Key.backspace,2019-11-06 15:21:10.151253	
Key.esc,2019-11-06 15:21:48.024767	
