Participant ID,
'h',2019-11-08 17:12:12.224540	
'i',2019-11-08 17:12:12.307774	
'h',2019-11-08 17:12:33.783308	
'o',2019-11-08 17:12:34.174305	
'w',2019-11-08 17:12:34.270050	
"'",2019-11-08 17:12:35.315280	
's',2019-11-08 17:12:35.429715	
Key.space,2019-11-08 17:12:35.706014	
'y',2019-11-08 17:12:36.213768	
'o',2019-11-08 17:12:36.521845	
'u',2019-11-08 17:12:36.717082	
'r',2019-11-08 17:12:36.855176	
Key.space,2019-11-08 17:12:36.975039	
'd',2019-11-08 17:12:37.232911	
'a',2019-11-08 17:12:37.356215	
'y',2019-11-08 17:12:37.468904	
Key.shift,2019-11-08 17:12:39.361953	
'/',2019-11-08 17:12:39.794908	
Key.enter,2019-11-08 17:12:41.263143	
't',2019-11-08 17:13:29.286928	
'h',2019-11-08 17:13:29.464620	
'a',2019-11-08 17:13:29.612335	
't',2019-11-08 17:13:29.699523	
's',2019-11-08 17:13:29.823799	
Key.space,2019-11-08 17:13:30.119690	
'g',2019-11-08 17:13:30.674024	
'o',2019-11-08 17:13:30.836661	
'o',2019-11-08 17:13:30.998017	
'd',2019-11-08 17:13:31.181489	
Key.shift,2019-11-08 17:13:32.161822	
'1',2019-11-08 17:13:32.623691	
Key.enter,2019-11-08 17:13:33.831021	
Key.caps_lock,2019-11-08 17:13:55.430702	
'w',2019-11-08 17:13:56.523563	
Key.caps_lock,2019-11-08 17:13:56.625116	
'h',2019-11-08 17:13:57.213919	
'a',2019-11-08 17:13:57.297704	
't',2019-11-08 17:13:57.394589	
Key.space,2019-11-08 17:13:57.545043	
'd',2019-11-08 17:13:57.744513	
'i',2019-11-08 17:13:57.857017	
'd',2019-11-08 17:13:57.934657	
Key.space,2019-11-08 17:13:58.042274	
Key.backspace,2019-11-08 17:13:59.294028	
Key.backspace,2019-11-08 17:13:59.811829	
Key.backspace,2019-11-08 17:13:59.846508	
Key.backspace,2019-11-08 17:13:59.880842	
Key.backspace,2019-11-08 17:13:59.915089	
Key.backspace,2019-11-08 17:13:59.948233	
Key.backspace,2019-11-08 17:13:59.982905	
Key.backspace,2019-11-08 17:14:00.017227	
Key.backspace,2019-11-08 17:14:00.051964	
Key.backspace,2019-11-08 17:14:00.086119	
Key.backspace,2019-11-08 17:14:00.120474	
Key.backspace,2019-11-08 17:14:00.154308	
Key.backspace,2019-11-08 17:14:00.188529	
Key.backspace,2019-11-08 17:14:00.223226	
Key.backspace,2019-11-08 17:14:00.257086	
Key.backspace,2019-11-08 17:14:00.291182	
Key.caps_lock,2019-11-08 17:14:00.549726	
'd',2019-11-08 17:14:01.174508	
Key.caps_lock,2019-11-08 17:14:01.283121	
'o',2019-11-08 17:14:01.580755	
Key.space,2019-11-08 17:14:01.718004	
'y',2019-11-08 17:14:02.040874	
'o',2019-11-08 17:14:02.229827	
'u',2019-11-08 17:14:02.425558	
Key.space,2019-11-08 17:14:02.541520	
'h',2019-11-08 17:14:02.673193	
'a',2019-11-08 17:14:02.814206	
'v',2019-11-08 17:14:02.958577	
'e',2019-11-08 17:14:03.085832	
Key.space,2019-11-08 17:14:03.211065	
'a',2019-11-08 17:14:03.413768	
'n',2019-11-08 17:14:03.740126	
'y',2019-11-08 17:14:03.928551	
Key.space,2019-11-08 17:14:04.070719	
'p',2019-11-08 17:14:04.406309	
'l',2019-11-08 17:14:04.569837	
'a',2019-11-08 17:14:04.732739	
'n',2019-11-08 17:14:05.025206	
's',2019-11-08 17:14:05.138789	
Key.space,2019-11-08 17:14:05.245004	
'o',2019-11-08 17:14:05.393945	
'v',2019-11-08 17:14:05.678078	
'e',2019-11-08 17:14:05.786795	
'r',2019-11-08 17:14:05.951986	
Key.space,2019-11-08 17:14:06.056417	
't',2019-11-08 17:14:06.223471	
'h',2019-11-08 17:14:06.417512	
'e',2019-11-08 17:14:06.562497	
Key.space,2019-11-08 17:14:06.674603	
'w',2019-11-08 17:14:07.271661	
'e',2019-11-08 17:14:07.457846	
'k',2019-11-08 17:14:07.629928	
Key.backspace,2019-11-08 17:14:08.414640	
'e',2019-11-08 17:14:08.708293	
'k',2019-11-08 17:14:08.799054	
'e',2019-11-08 17:14:08.922472	
'n',2019-11-08 17:14:09.124024	
'd',2019-11-08 17:14:09.465238	
Key.shift,2019-11-08 17:14:10.200550	
'/',2019-11-08 17:14:10.553480	
Key.backspace,2019-11-08 17:14:17.260732	
Key.caps_lock,2019-11-08 17:14:17.610949	
'p',2019-11-08 17:14:17.962960	
Key.caps_lock,2019-11-08 17:14:18.044925	
'r',2019-11-08 17:14:18.388963	
'e',2019-11-08 17:14:18.498044	
't',2019-11-08 17:14:18.591207	
't',2019-11-08 17:14:18.751996	
'y',2019-11-08 17:14:18.936886	
Key.space,2019-11-08 17:14:19.083212	
'g',2019-11-08 17:14:19.757019	
'o',2019-11-08 17:14:19.867151	
'o',2019-11-08 17:14:20.032243	
'd',2019-11-08 17:14:20.187827	
