Participant ID,CCDemo13
Key.shift_r,2019-11-06 15:19:40.032011	
'h',2019-11-06 15:19:40.152435	
'e',2019-11-06 15:19:40.369091	
'l',2019-11-06 15:19:40.505355	
'l',2019-11-06 15:19:40.632295	
'o',2019-11-06 15:19:40.777574	
Key.enter,2019-11-06 15:19:41.033459	
Key.shift_r,2019-11-06 15:20:19.170618	
'h',2019-11-06 15:20:19.282988	
'o',2019-11-06 15:20:19.449456	
'w',2019-11-06 15:20:19.602803	
Key.space,2019-11-06 15:20:19.801296	
'a',2019-11-06 15:20:19.886025	
'r',2019-11-06 15:20:20.046693	
'e',2019-11-06 15:20:20.180568	
Key.space,2019-11-06 15:20:20.279042	
'y',2019-11-06 15:20:20.587922	
'o',2019-11-06 15:20:20.690580	
'u',2019-11-06 15:20:20.777636	
Key.space,2019-11-06 15:20:20.897042	
't',2019-11-06 15:20:20.981194	
'h',2019-11-06 15:20:21.097111	
'i',2019-11-06 15:20:21.260204	
's',2019-11-06 15:20:21.338725	
Key.space,2019-11-06 15:20:21.465485	
'a',2019-11-06 15:20:22.115301	
'f',2019-11-06 15:20:22.283330	
't',2019-11-06 15:20:22.800908	
'e',2019-11-06 15:20:22.923084	
'r',2019-11-06 15:20:23.071548	
'n',2019-11-06 15:20:23.141814	
'o',2019-11-06 15:20:23.358478	
'o',2019-11-06 15:20:23.496335	
'n',2019-11-06 15:20:23.678269	
Key.backspace,2019-11-06 15:20:24.550400	
Key.backspace,2019-11-06 15:20:24.694421	
Key.backspace,2019-11-06 15:20:24.841633	
Key.backspace,2019-11-06 15:20:24.980926	
Key.backspace,2019-11-06 15:20:25.118047	
Key.backspace,2019-11-06 15:20:25.257465	
Key.backspace,2019-11-06 15:20:25.434563	
Key.backspace,2019-11-06 15:20:25.618312	
Key.backspace,2019-11-06 15:20:25.751265	
Key.space,2019-11-06 15:20:26.263564	
'm',2019-11-06 15:20:26.437037	
'o',2019-11-06 15:20:26.614008	
'r',2019-11-06 15:20:26.682168	
'n',2019-11-06 15:20:26.815493	
'i',2019-11-06 15:20:26.988001	
'n',2019-11-06 15:20:27.154865	
'g',2019-11-06 15:20:27.226155	
Key.shift_r,2019-11-06 15:20:27.644072	
'/',2019-11-06 15:20:27.805340	
Key.enter,2019-11-06 15:20:27.943108	
<175>,2019-11-06 15:27:22.275681	
<174>,2019-11-06 15:27:23.091499	
Key.ctrl_l,2019-11-06 15:27:29.250690	
Key.ctrl_l,2019-11-06 15:27:29.653728	
Key.ctrl_l,2019-11-06 15:27:29.911404	
Key.ctrl_l,2019-11-06 15:27:30.289379	
Key.ctrl_l,2019-11-06 15:27:30.701264	
Key.esc,2019-11-06 15:27:31.675810	
