Participant ID,CCP1-A-I
'h',2019-11-08 15:08:51.184572	
'i',2019-11-08 15:08:52.352247	
Key.shift,2019-11-08 15:08:54.011867	
Key.shift,2019-11-08 15:08:54.879333	
'1',2019-11-08 15:08:55.205804	
Key.space,2019-11-08 15:08:55.942567	
'g',2019-11-08 15:08:56.171378	
'o',2019-11-08 15:08:56.464318	
'o',2019-11-08 15:08:56.653064	
'd',2019-11-08 15:08:56.913643	
",",2019-11-08 15:08:57.608424	Key.space,2019-11-08 15:08:57.906853	
'h',2019-11-08 15:08:58.201047	
'o',2019-11-08 15:08:58.466539	
'w',2019-11-08 15:08:58.667876	
Key.space,2019-11-08 15:08:58.925949	
'a',2019-11-08 15:08:59.048543	
'r',2019-11-08 15:08:59.191580	
'e',2019-11-08 15:08:59.299801	
Key.space,2019-11-08 15:08:59.499556	
'y',2019-11-08 15:09:00.029724	
'o',2019-11-08 15:09:00.148638	
'u',2019-11-08 15:09:00.273852	
'\\',2019-11-08 15:09:00.888251	
Key.backspace,2019-11-08 15:09:01.549894	
Key.shift,2019-11-08 15:09:02.544317	
'/',2019-11-08 15:09:02.714750	
Key.shift,2019-11-08 15:09:32.877965	
'p',2019-11-08 15:09:33.104393	
'r',2019-11-08 15:09:33.329265	
'e',2019-11-08 15:09:33.478758	
't',2019-11-08 15:09:33.954332	
't',2019-11-08 15:09:34.105352	
'y',2019-11-08 15:09:34.324623	
Key.space,2019-11-08 15:09:34.806386	
'g',2019-11-08 15:09:35.105714	
'o',2019-11-08 15:09:35.290015	
'o',2019-11-08 15:09:35.457316	
'd',2019-11-08 15:09:35.597165	
Key.space,2019-11-08 15:09:35.770713	
'h',2019-11-08 15:09:35.996538	
'a',2019-11-08 15:09:36.143711	
'h',2019-11-08 15:09:36.300500	
'a',2019-11-08 15:09:36.392390	
'h',2019-11-08 15:09:36.863722	
'a',2019-11-08 15:09:36.978053	
Key.space,2019-11-08 15:09:37.348296	
