Participant ID,CCP2-B-I
'h',2019-11-08 15:08:38.811381	
'e',2019-11-08 15:08:39.069570	
'l',2019-11-08 15:08:39.258270	
'l',2019-11-08 15:08:39.399508	
'o',2019-11-08 15:08:39.515198	
Key.shift,2019-11-08 15:08:40.139740	
'1',2019-11-08 15:08:40.195812	
Key.space,2019-11-08 15:08:40.730178	
Key.shift,2019-11-08 15:08:41.265776	
'h',2019-11-08 15:08:41.347334	
'o',2019-11-08 15:08:41.896682	
'w',2019-11-08 15:08:42.046684	
Key.space,2019-11-08 15:08:42.130647	
'a',2019-11-08 15:08:42.296345	
'r',2019-11-08 15:08:42.503406	
'e',2019-11-08 15:08:42.628983	
Key.space,2019-11-08 15:08:42.732379	
'y',2019-11-08 15:08:42.882458	
'o',2019-11-08 15:08:42.945112	
'u',2019-11-08 15:08:43.006223	
Key.shift,2019-11-08 15:08:44.525936	
'/',2019-11-08 15:08:44.616782	
Key.enter,2019-11-08 15:08:45.699054	
Key.shift,2019-11-08 15:09:07.989097	
'p',2019-11-08 15:09:08.079916	
'r',2019-11-08 15:09:08.395393	
'e',2019-11-08 15:09:08.465524	
't',2019-11-08 15:09:09.264542	
't',2019-11-08 15:09:09.401286	
'y',2019-11-08 15:09:09.493958	
Key.space,2019-11-08 15:09:10.154764	
'g',2019-11-08 15:09:11.485308	
'o',2019-11-08 15:09:11.624421	
'o',2019-11-08 15:09:11.739503	
'd',2019-11-08 15:09:11.850743	
Key.shift,2019-11-08 15:09:12.375807	
'1',2019-11-08 15:09:12.463100	
Key.space,2019-11-08 15:09:13.025965	
'h',2019-11-08 15:09:13.483270	
Key.backspace,2019-11-08 15:09:14.085020	
Key.shift,2019-11-08 15:09:14.432727	
'h',2019-11-08 15:09:14.522296	
'o',2019-11-08 15:09:14.689009	
'w',2019-11-08 15:09:14.800951	
Key.space,2019-11-08 15:09:15.220781	
'i',2019-11-08 15:09:15.470203	
's',2019-11-08 15:09:15.910864	
Key.space,2019-11-08 15:09:16.031338	
'o',2019-11-08 15:09:16.290559	
