Participant ID,CCP3-A-O
'h',2019-11-08 16:09:57.858110	
Key.backspace,2019-11-08 16:09:58.709886	
Key.shift,2019-11-08 16:09:59.376509	
Key.shift,2019-11-08 16:09:59.894835	
Key.shift,2019-11-08 16:09:59.929234	
'u',2019-11-08 16:09:59.950086	
'm',2019-11-08 16:10:00.356601	
Key.backspace,2019-11-08 16:10:01.030030	
Key.backspace,2019-11-08 16:10:01.325902	
'h',2019-11-08 16:10:02.425993	
'e',2019-11-08 16:10:03.328787	
'l',2019-11-08 16:10:04.055050	
'l',2019-11-08 16:10:04.181768	
'o',2019-11-08 16:10:04.347078	
Key.space,2019-11-08 16:10:04.910911	
'i',2019-11-08 16:10:06.125874	
'd',2019-11-08 16:10:06.334167	
'o',2019-11-08 16:10:06.429737	
'n',2019-11-08 16:10:06.611757	
't',2019-11-08 16:10:06.655659	
Key.backspace,2019-11-08 16:10:07.092768	
Key.backspace,2019-11-08 16:10:07.237989	
Key.backspace,2019-11-08 16:10:07.370221	
Key.backspace,2019-11-08 16:10:07.507753	
Key.backspace,2019-11-08 16:10:08.095315	
Key.space,2019-11-08 16:10:08.241913	
Key.shift,2019-11-08 16:10:08.344443	
'i',2019-11-08 16:10:08.473952	
Key.space,2019-11-08 16:10:08.584895	
'd',2019-11-08 16:10:08.967683	
'o',2019-11-08 16:10:09.070794	
'n',2019-11-08 16:10:09.158122	
't',2019-11-08 16:10:09.203666	
Key.space,2019-11-08 16:10:09.344570	
'r',2019-11-08 16:10:09.500982	
'e',2019-11-08 16:10:09.571085	
'a',2019-11-08 16:10:09.811205	
'l',2019-11-08 16:10:09.876904	
'l',2019-11-08 16:10:09.995808	
'y',2019-11-08 16:10:10.284879	
Key.space,2019-11-08 16:10:10.401909	
'k',2019-11-08 16:10:10.596242	
'n',2019-11-08 16:10:10.650478	
'o',2019-11-08 16:10:10.986591	
'w',2019-11-08 16:10:11.108743	
Key.space,2019-11-08 16:10:11.190601	
'w',2019-11-08 16:10:11.337249	
'h',2019-11-08 16:10:11.417306	
'a',2019-11-08 16:10:11.556869	
't',2019-11-08 16:10:11.666400	
Key.space,2019-11-08 16:10:11.789638	
'w',2019-11-08 16:10:12.160515	
'e',2019-11-08 16:10:12.263652	
'r',2019-11-08 16:10:12.457449	
'e',2019-11-08 16:10:12.528207	
Key.space,2019-11-08 16:10:12.674616	
's',2019-11-08 16:10:12.866927	
'u',2019-11-08 16:10:12.993396	
'p',2019-11-08 16:10:13.241232	
'p',2019-11-08 16:10:13.372708	
'o',2019-11-08 16:10:13.450970	
's',2019-11-08 16:10:13.527379	
