Participant ID,
'h',2019-11-05 17:19:09.558442	
'i',2019-11-05 17:19:09.802537	
Key.space,2019-11-05 17:19:09.995516	
Key.shift,2019-11-05 17:19:10.838827	
';',2019-11-05 17:19:10.897120	
Key.shift,2019-11-05 17:19:11.185134	
'0',2019-11-05 17:19:11.227436	
Key.enter,2019-11-05 17:19:11.962563	
'h',2019-11-05 17:19:31.592535	
'o',2019-11-05 17:19:31.821835	
'w',2019-11-05 17:19:32.021017	
's',2019-11-05 17:19:32.436365	
Key.space,2019-11-05 17:19:32.717371	
'i',2019-11-05 17:19:32.859478	
't',2019-11-05 17:19:33.500210	
Key.space,2019-11-05 17:19:33.663999	
'g',2019-11-05 17:19:33.808546	
'o',2019-11-05 17:19:33.894936	
'i',2019-11-05 17:19:34.087000	
'n',2019-11-05 17:19:34.189784	
Key.enter,2019-11-05 17:19:34.872965	
's',2019-11-05 17:19:58.345779	
'a',2019-11-05 17:19:58.407720	
'm',2019-11-05 17:19:58.495152	
'e',2019-11-05 17:19:58.654312	
Key.space,2019-11-05 17:19:58.792580	
'h',2019-11-05 17:19:59.070068	
'e',2019-11-05 17:19:59.138556	
'r',2019-11-05 17:19:59.200850	
'e',2019-11-05 17:19:59.303250	
Key.enter,2019-11-05 17:19:59.951381	
'w',2019-11-05 17:20:20.446640	
'e',2019-11-05 17:20:20.501903	
Key.space,2019-11-05 17:20:20.648041	
's',2019-11-05 17:20:20.761057	
'h',2019-11-05 17:20:20.863994	
'o',2019-11-05 17:20:21.085166	
'u',2019-11-05 17:20:21.291195	
'l',2019-11-05 17:20:21.614034	
'd',2019-11-05 17:20:21.697897	
Key.space,2019-11-05 17:20:21.816592	
'b',2019-11-05 17:20:22.004133	
'e',2019-11-05 17:20:22.073436	
Key.space,2019-11-05 17:20:22.161457	
'b',2019-11-05 17:20:22.257899	
'e',2019-11-05 17:20:22.335834	
't',2019-11-05 17:20:22.607155	
'f',2019-11-05 17:20:22.907739	
'r',2019-11-05 17:20:23.030587	
'i',2019-11-05 17:20:23.431683	
'e',2019-11-05 17:20:23.521437	
'n',2019-11-05 17:20:23.653353	
'd',2019-11-05 17:20:23.729038	
's',2019-11-05 17:20:23.799427	
Key.backspace,2019-11-05 17:20:25.436714	
Key.backspace,2019-11-05 17:20:25.557446	
Key.backspace,2019-11-05 17:20:25.675680	
Key.backspace,2019-11-05 17:20:25.766338	
Key.backspace,2019-11-05 17:20:25.887289	
Key.backspace,2019-11-05 17:20:26.011082	
Key.backspace,2019-11-05 17:20:26.123062	
Key.backspace,2019-11-05 17:20:26.411728	
's',2019-11-05 17:20:26.791920	
't',2019-11-05 17:20:26.931979	
Key.space,2019-11-05 17:20:27.111728	
'f',2019-11-05 17:20:27.288236	
'r',2019-11-05 17:20:27.473591	
'i',2019-11-05 17:20:27.648046	
'e',2019-11-05 17:20:28.388330	
'd',2019-11-05 17:20:28.565619	
's',2019-11-05 17:20:28.652008	
Key.backspace,2019-11-05 17:20:29.241754	
Key.backspace,2019-11-05 17:20:30.013222	
'n',2019-11-05 17:20:30.424189	
'd',2019-11-05 17:20:30.477142	
's',2019-11-05 17:20:30.586796	
Key.enter,2019-11-05 17:20:31.397011	
'y',2019-11-05 17:20:52.369235	
'i',2019-11-05 17:20:52.534123	
'k',2019-11-05 17:20:52.680140	
'e',2019-11-05 17:20:52.827283	
's',2019-11-05 17:20:52.974774	
",",2019-11-05 17:20:53.114207	Key.space,2019-11-05 17:20:53.235949	
'h',2019-11-05 17:20:53.947181	
Key.backspace,2019-11-05 17:20:54.499749	
't',2019-11-05 17:20:54.763281	
'h',2019-11-05 17:20:54.984877	
'a',2019-11-05 17:20:55.110613	
't',2019-11-05 17:20:55.252538	
Key.space,2019-11-05 17:20:55.332450	
'h',2019-11-05 17:20:55.489293	
'u',2019-11-05 17:20:55.703394	
'r',2019-11-05 17:20:55.829126	
't',2019-11-05 17:20:55.891744	
Key.enter,2019-11-05 17:20:56.474083	
'n',2019-11-05 17:21:30.832923	
Key.backspace,2019-11-05 17:21:33.206886	
'h',2019-11-05 17:21:34.863933	
'o',2019-11-05 17:21:35.291195	
'w',2019-11-05 17:21:35.527243	
's',2019-11-05 17:21:36.390342	
Key.space,2019-11-05 17:21:36.540066	
'y',2019-11-05 17:21:36.841113	
'o',2019-11-05 17:21:36.943423	
'u',2019-11-05 17:21:37.340402	
Key.backspace,2019-11-05 17:21:37.793321	
Key.backspace,2019-11-05 17:21:38.015134	
Key.backspace,2019-11-05 17:21:38.113886	
Key.backspace,2019-11-05 17:21:38.230288	
Key.backspace,2019-11-05 17:21:38.593898	
"'",2019-11-05 17:21:39.157123	
's',2019-11-05 17:21:39.285614	
Key.space,2019-11-05 17:21:39.533827	
'y',2019-11-05 17:21:39.937716	
'o',2019-11-05 17:21:40.038150	
'u',2019-11-05 17:21:40.259441	
'r',2019-11-05 17:21:40.412737	
Key.space,2019-11-05 17:21:40.545490	
'd',2019-11-05 17:21:40.729655	
'a',2019-11-05 17:21:40.870088	
'y',2019-11-05 17:21:41.008294	
Key.space,2019-11-05 17:21:41.374971	
'g',2019-11-05 17:21:41.591247	
'o',2019-11-05 17:21:41.722579	
'n',2019-11-05 17:21:42.009066	
'g',2019-11-05 17:21:42.104295	
'a',2019-11-05 17:21:45.118519	
'n',2019-11-05 17:21:45.248505	
'w',2019-11-05 17:21:45.622052	
'y',2019-11-05 17:21:45.810844	
Key.backspace,2019-11-05 17:21:47.994879	
Key.backspace,2019-11-05 17:21:48.124637	
'y',2019-11-05 17:21:48.666578	
'w',2019-11-05 17:21:48.840477	
'a',2019-11-05 17:21:48.980526	
'y',2019-11-05 17:21:49.180801	
's',2019-11-05 17:21:49.225972	
",",2019-11-05 17:21:50.075569	Key.space,2019-11-05 17:21:50.356664	
Key.backspace,2019-11-05 17:21:52.699441	
Key.backspace,2019-11-05 17:21:52.820973	
'i',2019-11-05 17:21:53.455577	
'n',2019-11-05 17:21:53.574210	
'g',2019-11-05 17:21:53.974487	
'v',2019-11-05 17:22:32.031221	
'e',2019-11-05 17:22:32.209545	
'r',2019-11-05 17:22:32.289072	
'y',2019-11-05 17:22:32.381012	
Key.space,2019-11-05 17:22:32.469533	
'g',2019-11-05 17:22:32.685990	
'o',2019-11-05 17:22:32.859940	
'o',2019-11-05 17:22:32.983821	
'd',2019-11-05 17:22:33.101458	
",",2019-11-05 17:22:33.613070	Key.space,2019-11-05 17:22:33.816560	
'r',2019-11-05 17:22:34.463348	
'e',2019-11-05 17:22:34.534092	
'a',2019-11-05 17:22:34.784069	
'l',2019-11-05 17:22:34.971523	
'y',2019-11-05 17:22:35.120756	
Key.space,2019-11-05 17:22:35.211327	
'h',2019-11-05 17:22:35.382087	
'u',2019-11-05 17:22:35.588419	
'n',2019-11-05 17:22:35.634930	
'g',2019-11-05 17:22:36.389849	
'r',2019-11-05 17:22:36.534163	
'y',2019-11-05 17:22:37.385735	
Key.space,2019-11-05 17:22:37.476193	
't',2019-11-05 17:22:37.661613	
