Group,Time,Id,User,Message
"group 1","11/8/2019 4:07:17 PM","","System",">> User 1 has Connected"
"group 1","11/8/2019 4:09:27 PM","","System",">> All chat participants have arrived. You may now chat!"
"group 1","11/8/2019 4:09:27 PM","","System",">> User 2 has Connected"
"group 1","11/8/2019 4:09:54 PM","cc4","User 1","Hello"
"group 1","11/8/2019 4:10:13 PM","cc3","User 2","hello  I dont really know what were supposed to talk about lol"
"group 1","11/8/2019 4:10:35 PM","cc4","User 1","Hello there. Not really? Socrates was the smartest man, because he knew what he did not know. I'm glad you find this amusing."
"group 1","11/8/2019 4:11:26 PM","cc3","User 2","?"
"group 1","11/8/2019 4:13:00 PM","cc4","User 1","Are you surprised?"
"group 1","11/8/2019 4:13:12 PM","cc3","User 2","what do you mean?"
"group 1","11/8/2019 4:13:32 PM","cc4","User 1","Sorry that was an obscure remark."
"group 1","11/8/2019 4:13:56 PM","cc3","User 2","why did you think I was suprised?"
"group 1","11/8/2019 4:14:22 PM","cc4","User 1","Not that I know of."
"group 1","11/8/2019 4:14:39 PM","","System",">> This chat has now expired."
