Group,Time,Id,User,Message
"group 1","11/1/2019 5:47:53 PM","","System",">> User 1 has Connected"
"group 1","11/1/2019 5:48:10 PM","","System",">> User 1 has Disconnected"
"group 2","11/1/2019 5:53:30 PM","","System",">> User 1 has Connected"
"group 2","11/1/2019 5:53:32 PM","","System",">> All chat participants have arrived. You may now chat!"
"group 2","11/1/2019 5:53:32 PM","","System",">> User 2 has Connected"
"group 2","11/1/2019 5:53:38 PM","none","User 1","hello!"
"group 2","11/1/2019 5:53:47 PM","none","User 2","hi how are you?"
"group 2","11/1/2019 5:53:55 PM","none","User 1","i'm good and you/"
"group 2","11/1/2019 5:54:05 PM","none","User 2","im good thank you!"
"group 2","11/1/2019 5:54:08 PM","none","User 1","thats awesome!"
"group 2","11/1/2019 5:54:12 PM","none","User 2","great"
"group 2","11/1/2019 5:54:14 PM","none","User 1","cool"
"group 2","11/1/2019 5:58:42 PM","","System",">> This chat has now expired."
