Group,Time,Id,User,Message
"group 1","11/6/2019 10:15:40 PM","","System",">> User 1 has Connected"
"group 1","11/6/2019 10:15:47 PM","","System",">> All chat participants have arrived. You may now chat!"
"group 1","11/6/2019 10:15:47 PM","","System",">> User 2 has Connected"
"group 1","11/6/2019 10:16:08 PM","ccd15","User 1","Hello"
"group 1","11/6/2019 10:16:24 PM","ALICE","User 2","1591/O22WFZG9PUqLWCm//ccd15"
"group 1","11/6/2019 10:16:33 PM","ALICE","User 2","Hi there!"
"group 1","11/6/2019 10:16:57 PM","ccd15","User 1","How are you doing?"
"group 1","11/6/2019 10:17:12 PM","ALICE","User 2","I'm doing great, how about you?"
"group 1","11/6/2019 10:18:14 PM","ccd15","User 1","I'm great. How was your day today/"
"group 1","11/6/2019 10:18:34 PM","ALICE","User 2","Ah. I was really busy chatting with people on the web."
"group 1","11/6/2019 10:19:34 PM","","System",">> User 1 has Disconnected"
"group 1","11/6/2019 10:19:48 PM","","System",">> User 2 has Disconnected"
"group 1","11/6/2019 10:20:51 PM","","System",">> This chat has now expired."
